Date,Open,High,Low,Close,Adj Close,Volume
2019-09-26,50.180000,51.689999,50.180000,50.202000,46.670872,3400
2019-09-27,50.490002,50.490002,49.900002,49.993999,46.477501,55600
2019-09-30,49.937000,50.349998,49.937000,50.111000,46.586266,6600
2019-10-01,50.740002,50.740002,49.063000,49.063000,45.611977,3000
2019-10-02,48.470001,48.509998,48.240002,48.358002,44.956573,20200
2019-10-03,47.810001,48.369999,47.740002,48.327999,44.928684,11200
2019-10-04,48.650002,48.715000,48.169998,48.715000,45.288467,54400
2019-10-07,48.820000,48.840000,48.660000,48.660000,45.237328,4300
2019-10-08,48.028999,48.160000,47.771000,47.771000,44.410858,38600
2019-10-09,47.990002,48.189999,47.990002,48.189999,44.800388,55200
2019-10-10,48.189999,48.549999,48.189999,48.348999,44.948193,21300
2019-10-11,49.820000,49.820000,49.410000,49.410000,45.934578,7600
2019-10-14,49.091000,49.206001,49.091000,49.143002,45.686367,32200
2019-10-15,49.830002,49.970001,49.643002,49.643002,46.151188,5500
2019-10-16,49.910000,50.049999,49.750000,49.799999,46.297138,24800
2019-10-17,50.070000,50.349998,49.990002,50.256001,46.721073,38800
2019-10-18,50.139999,50.209999,49.883999,50.117001,46.591854,9800
2019-10-21,50.860001,53.764999,50.597000,50.597000,47.038086,21300
2019-10-22,50.459999,51.139999,50.459999,50.915001,47.333714,3300
2019-10-23,50.869999,51.310001,50.869999,51.201000,47.599594,120300
2019-10-24,51.049999,51.099998,50.749001,51.049000,47.458282,502300
2019-10-25,51.209999,51.750000,51.209999,51.643002,48.010506,2600
2019-10-28,52.179001,52.310001,52.026001,52.060001,48.398170,35500
2019-10-29,52.000000,52.480000,52.000000,52.273998,48.597122,21800
2019-10-30,51.709999,51.709999,51.523998,51.698002,48.061642,6000
2019-10-31,51.160000,51.175999,50.900002,51.175999,47.576351,24600
2019-11-01,52.089001,52.200001,51.990002,52.160999,48.492069,35500
2019-11-04,52.919998,53.191002,52.919998,53.191002,49.449631,38000
2019-11-05,53.869999,53.869999,53.389999,53.459999,49.699696,8600
2019-11-06,53.067001,53.180000,52.848000,53.021000,49.291576,1400
2019-11-07,53.549999,53.560001,53.320000,53.320000,49.569542,14600
2019-11-08,53.619999,53.619999,53.251999,53.341999,49.590004,14100
2019-11-11,53.080002,53.205002,53.049999,53.115002,49.378967,4500
2019-11-12,53.320000,53.380001,53.157001,53.157001,49.418015,3700
2019-11-13,52.811001,52.919998,52.650002,52.708000,49.000595,9600
2019-11-14,52.950001,52.950001,52.520000,52.595001,48.895550,8900
2019-11-15,52.860001,52.950001,52.720001,52.743999,49.034069,15400
2019-11-18,52.340000,52.430000,52.306999,52.361000,48.678005,3900
2019-11-19,53.919998,53.919998,52.125999,52.158001,48.489281,9600
2019-11-20,51.891998,52.200001,51.676998,51.676998,48.042118,5000
2019-11-21,51.680000,51.680000,51.349998,51.563999,47.937065,1100
2019-11-22,51.590000,51.840000,51.590000,51.776001,48.134144,21500
2019-11-25,52.584000,52.770000,52.570000,52.759998,49.048943,3900
2019-11-26,52.730000,52.805000,52.573002,52.573002,48.875103,4100
2019-11-27,52.750000,52.830002,52.630001,52.770000,49.058239,5500
2019-11-29,52.689999,52.689999,52.408001,52.408001,48.721703,1600
2019-12-02,52.400002,52.400002,51.937000,51.937000,48.283825,6900
2019-12-03,51.209999,51.449001,51.200001,51.449001,47.830158,2600
2019-12-04,52.105000,52.259998,51.924999,51.924999,48.272671,7800
2019-12-05,52.080002,52.132999,51.970001,52.109001,48.443733,9600
2019-12-06,53.110001,53.145000,52.909000,52.911999,49.190247,7500
2019-12-09,52.993000,52.993000,52.993000,52.993000,49.265553,200
2019-12-10,53.020000,53.070000,52.930000,52.935001,49.211628,2000
2019-12-11,52.970001,53.092999,52.950001,53.092999,49.358517,1900
2019-12-12,53.470001,54.099998,53.441002,54.029999,50.229607,6700
2019-12-13,54.044998,54.044998,53.391998,53.450001,49.690407,3100
2019-12-16,53.869999,54.299999,53.869999,53.894001,50.103176,10400
2019-12-17,54.035000,54.379002,54.035000,54.359001,50.535469,14700
2019-12-18,54.270000,54.520000,54.270000,54.520000,50.685143,6600
2019-12-19,54.535999,54.564999,54.509998,54.521000,50.686066,4400
2019-12-20,54.689999,54.689999,54.430000,54.452999,50.622856,9100
2019-12-23,53.990002,54.310001,53.990002,54.247002,50.623795,31400
2019-12-24,54.389999,54.419998,54.284000,54.284000,50.658325,2500
2019-12-26,54.389000,54.389999,54.200001,54.283001,50.657383,5900
2019-12-27,54.230000,54.230000,53.910000,53.929001,50.327038,6300
2019-12-30,53.925999,54.330002,53.889999,53.970001,50.365288,10300
2019-12-31,54.299999,54.330002,54.110001,54.259998,50.635918,16200
2020-01-02,54.770000,54.799999,53.744999,53.943001,50.340099,90000
2020-01-03,53.770000,53.799999,53.619999,53.772999,50.181442,5700
2020-01-06,53.770000,53.770000,53.453999,53.709000,50.121727,13700
2020-01-07,53.450001,53.575001,53.386002,53.556000,49.978951,2500
2020-01-08,53.740002,53.740002,53.351002,53.351002,49.787640,5600
2020-01-09,53.189999,53.230000,53.138000,53.145000,49.595390,17000
2020-01-10,52.919998,52.919998,52.708000,52.735001,49.212780,1400
2020-01-13,53.080002,53.080002,52.634998,53.078999,49.533802,6500
2020-01-14,53.306999,53.639999,53.261002,53.261002,49.703651,900
2020-01-15,53.299999,53.299999,52.985001,53.078999,49.533802,4300
2020-01-16,53.884998,53.910000,53.799999,53.820999,50.226238,4400
2020-01-17,53.724998,53.799999,53.470001,53.573002,49.994801,3900
2020-01-21,53.439999,53.439999,52.710999,52.710999,49.190380,4100
